| ion |      wave | NIST | Instr | amplitude |       Source |
| HgI | 12062.335 |    1 |   529 |   41880.0 | Hg_lines.dat |
| ArI | 12063.969 |    1 |   368 |   47720.0 | Ar_lines.dat |
| HgI | 12063.969 |    1 |   530 |   47720.0 | Hg_lines.dat |
| HgI | 12069.581 |    1 |   531 |   52910.0 | Hg_lines.dat |
| ArI | 12069.581 |    1 |   369 |   52910.0 | Ar_lines.dat |
| KrI | 12080.520 |    1 |   210 |   39970.0 | Kr_lines.dat |
| KrI | 12082.156 |    1 |   211 |   46420.0 | Kr_lines.dat |
| XeI | 12088.110 |    1 |   210 |   29980.0 | Xe_lines.dat |
| HgI | 12092.869 |    1 |   533 |   45070.0 | Hg_lines.dat |
| ArI | 12092.869 |    1 |   370 |   45070.0 | Ar_lines.dat |
| HgI | 12095.976 |    1 |   534 |   44080.0 | Hg_lines.dat |
| ArI | 12095.976 |    1 |   371 |   44080.0 | Ar_lines.dat |
| HgI | 12115.641 |    1 |   535 |   45770.0 | Hg_lines.dat |
| ArI | 12115.641 |    1 |   372 |   45770.0 | Ar_lines.dat |
| KrI | 12121.110 |    1 |   212 |   26300.0 | Kr_lines.dat |
| HgI | 12125.754 |    1 |   536 |   28760.0 | Hg_lines.dat |
| ArI | 12125.754 |    1 |   373 |   28760.0 | Ar_lines.dat |
| KrI | 12126.870 |    1 |   213 |   21680.0 | Kr_lines.dat |
| HgI | 12143.060 |    1 |   538 |   40510.0 | Hg_lines.dat |
| ArI | 12143.060 |    1 |   374 |   40510.0 | Ar_lines.dat |
| KrI | 12160.170 |    1 |   214 |   77410.0 | Kr_lines.dat |
| ArI | 12167.916 |    1 |   375 |  106500.0 | Ar_lines.dat |
| HgI | 12167.916 |    1 |   540 |  106500.0 | Hg_lines.dat |
| HgI | 12187.699 |    1 |   541 |   87930.0 | Hg_lines.dat |
| ArI | 12187.699 |    1 |   376 |   87930.0 | Ar_lines.dat |
| HgI | 12201.385 |    1 |   542 |   68350.0 | Hg_lines.dat |
| ArI | 12201.385 |    1 |   377 |   68350.0 | Ar_lines.dat |
| XeI | 12206.880 |    1 |   211 |   33720.0 | Xe_lines.dat |
| KrI | 12207.875 |    1 |   215 |   58760.0 | Kr_lines.dat |
| KrI | 12232.750 |    1 |   216 |   24340.0 | Kr_lines.dat |
| XeI | 12238.590 |    1 |   212 |   24220.0 | Xe_lines.dat |
| KrI | 12243.910 |    1 |   217 |   24900.0 | Kr_lines.dat |
| XeI | 12261.160 |    1 |   213 |   16750.0 | Xe_lines.dat |
| XeI | 12276.240 |    1 |   214 |   14970.0 | Xe_lines.dat |
| KrI | 12285.450 |    1 |   218 |   19100.0 | Kr_lines.dat |
| HgI | 12310.620 |    1 |   544 |   13860.0 | Hg_lines.dat |
| ArI | 12310.620 |    1 |   378 |   13860.0 | Ar_lines.dat |
| KrI | 12324.450 |    1 |   219 |   13150.0 | Kr_lines.dat |
| HgI | 12346.770 |    1 |   545 |   34920.0 | Hg_lines.dat |
| ArI | 12346.770 |    1 |   379 |   34920.0 | Ar_lines.dat |
| HgI | 12378.226 |    1 |   546 |   25610.0 | Hg_lines.dat |
| ArI | 12378.226 |    1 |   380 |   25610.0 | Ar_lines.dat |
| HgI | 12396.117 |    1 |   548 |   73390.0 | Hg_lines.dat |
| ArI | 12396.117 |    1 |   381 |   73390.0 | Ar_lines.dat |
| ArI | 12406.221 |    1 |   382 |   73450.0 | Ar_lines.dat |
| HgI | 12406.221 |    1 |   549 |   73450.0 | Hg_lines.dat |
| ArI | 12407.046 |    1 |   383 |   65580.0 | Ar_lines.dat |
| HgI | 12407.046 |    1 |   550 |   65580.0 | Hg_lines.dat |
| ArI | 12410.486 |    1 |   384 |   45060.0 | Ar_lines.dat |
| HgI | 12410.486 |    1 |   551 |   45060.0 | Hg_lines.dat |
| XeI | 12412.500 |    1 |   215 |   15380.0 | Xe_lines.dat |
| KrI | 12418.485 |    1 |   220 |   28660.0 | Kr_lines.dat |
| ArI | 12442.724 |    1 |   385 |  121000.0 | Ar_lines.dat |
| HgI | 12442.724 |    1 |   552 |  121000.0 | Hg_lines.dat |
| XeI | 12454.620 |    1 |   216 |   25630.0 | Xe_lines.dat |
| ArI | 12459.530 |    1 |   386 |   49150.0 | Ar_lines.dat |
| HgI | 12459.530 |    1 |   553 |   49150.0 | Hg_lines.dat |
| HgI | 12491.080 |    1 |   554 |   95680.0 | Hg_lines.dat |
| ArI | 12491.080 |    1 |   387 |   95680.0 | Ar_lines.dat |
| HgI | 12512.431 |    1 |   555 |   51810.0 | Hg_lines.dat |
| ArI | 12512.431 |    1 |   388 |   51810.0 | Ar_lines.dat |
| ArI | 12548.758 |    1 |   389 |   46240.0 | Ar_lines.dat |
| HgI | 12548.758 |    1 |   556 |   46240.0 | Hg_lines.dat |
| XeI | 12593.440 |    1 |   217 |   39190.0 | Xe_lines.dat |
| KrI | 12601.330 |    1 |   221 |   24110.0 | Kr_lines.dat |
| ArI | 12623.821 |    1 |   390 |   17570.0 | Ar_lines.dat |
| HgI | 12623.821 |    1 |   557 |   17570.0 | Hg_lines.dat |
| XeI | 12626.850 |    1 |   218 |    9984.0 | Xe_lines.dat |
| HgI | 12683.629 |    1 |   558 |   16390.0 | Hg_lines.dat |
| ArI | 12683.629 |    1 |   391 |   16390.0 | Ar_lines.dat |
| HgI | 12705.756 |    1 |   559 |   24560.0 | Hg_lines.dat |
| ArI | 12705.756 |    1 |   392 |   24560.0 | Ar_lines.dat |
| ArI | 12716.100 |    1 |   393 |   18080.0 | Ar_lines.dat |
| HgI | 12716.100 |    1 |   560 |   18080.0 | Hg_lines.dat |
| KrI | 12735.770 |    1 |   222 |   21970.0 | Kr_lines.dat |
| ArI | 12735.885 |    1 |   394 |   41780.0 | Ar_lines.dat |
| HgI | 12735.885 |    1 |   561 |   41780.0 | Hg_lines.dat |
| KrI | 12736.342 |    1 |   223 |   25910.0 | Kr_lines.dat |
| ArI | 12736.901 |    1 |   395 |   46230.0 | Ar_lines.dat |
| HgI | 12736.901 |    1 |   562 |   46230.0 | Hg_lines.dat |
| ArI | 12742.080 |    1 |   396 |   34970.0 | Ar_lines.dat |
| HgI | 12742.080 |    1 |   563 |   34970.0 | Hg_lines.dat |
| ArI | 12749.719 |    1 |   397 |   27030.0 | Ar_lines.dat |
| HgI | 12749.719 |    1 |   564 |   27030.0 | Hg_lines.dat |
| KrI | 12786.020 |    1 |   224 |   56000.0 | Kr_lines.dat |
| ArI | 12786.272 |    1 |   398 |   34050.0 | Ar_lines.dat |
| HgI | 12786.272 |    1 |   565 |   34050.0 | Hg_lines.dat |
| ArI | 12806.241 |    1 |   399 |   39840.0 | Ar_lines.dat |
| HgI | 12806.241 |    1 |   566 |   39840.0 | Hg_lines.dat |
| KrI | 12828.590 |    1 |   225 |   76400.0 | Kr_lines.dat |
| HgI | 12850.571 |    1 |   567 |   58640.0 | Hg_lines.dat |
| ArI | 12850.571 |    1 |   400 |   58640.0 | Ar_lines.dat |
| KrI | 12865.410 |    1 |   226 |  106400.0 | Kr_lines.dat |
| KrI | 12879.690 |    1 |   227 |   36630.0 | Kr_lines.dat |
| KrI | 12882.260 |    1 |   228 |   37700.0 | Kr_lines.dat |
| KrI | 12918.100 |    1 |   229 |  103800.0 | Kr_lines.dat |
| KrI | 12919.170 |    1 |   230 |   98190.0 | Kr_lines.dat |
| HgI | 12936.733 |    1 |   568 |   98020.0 | Hg_lines.dat |
| ArI | 12936.733 |    1 |   401 |   98020.0 | Ar_lines.dat |
| KrI | 12938.020 |    1 |   231 |   96940.0 | Kr_lines.dat |
| HgI | 12960.203 |    1 |   569 |  181300.0 | Hg_lines.dat |
| ArI | 12960.203 |    1 |   402 |  181300.0 | Ar_lines.dat |
| ArI | 12978.139 |    1 |   403 |  103300.0 | Ar_lines.dat |
| HgI | 12978.139 |    1 |   570 |  103300.0 | Hg_lines.dat |
| KrI | 12981.530 |    1 |   232 |   91900.0 | Kr_lines.dat |
| KrI | 12988.870 |    1 |   233 |   88160.0 | Kr_lines.dat |
| ArI | 13011.822 |    1 |   404 |   60140.0 | Ar_lines.dat |
| HgI | 13011.822 |    1 |   571 |   60140.0 | Hg_lines.dat |
| KrI | 13025.970 |    1 |   234 |   23430.0 | Kr_lines.dat |
| HgI | 13074.414 |    1 |   572 |   11230.0 | Hg_lines.dat |
| ArI | 13074.414 |    1 |   405 |   11230.0 | Ar_lines.dat |
| HgI | 13083.841 |    1 |   573 |   14070.0 | Hg_lines.dat |
| ArI | 13083.841 |    1 |   406 |   14070.0 | Ar_lines.dat |
| KrI | 13123.705 |    1 |   235 |    5857.0 | Kr_lines.dat |
| KrI | 13181.015 |    1 |   236 |   10800.0 | Kr_lines.dat |
| KrI | 13193.726 |    1 |   237 |   11580.0 | Kr_lines.dat |
| KrI | 13214.280 |    1 |   238 |   24290.0 | Kr_lines.dat |
| HgI | 13217.600 |    1 |   575 |   38540.0 | Hg_lines.dat |
| ArI | 13217.600 |    1 |   407 |   38540.0 | Ar_lines.dat |
| HgI | 13231.725 |    1 |   576 |   40000.0 | Hg_lines.dat |
| ArI | 13231.725 |    1 |   408 |   40000.0 | Ar_lines.dat |
| ArI | 13234.245 |    1 |   409 |   48980.0 | Ar_lines.dat |
| HgI | 13234.245 |    1 |   577 |   48980.0 | Hg_lines.dat |
| ArI | 13234.520 |    1 |   410 |   48980.0 | Ar_lines.dat |
| HgI | 13234.520 |    1 |   578 |   48980.0 | Hg_lines.dat |
| ArI | 13243.861 |    1 |   411 |   44560.0 | Ar_lines.dat |
| HgI | 13243.861 |    1 |   579 |   44560.0 | Hg_lines.dat |
| KrI | 13244.310 |    1 |   239 |   42760.0 | Kr_lines.dat |
| ArI | 13254.023 |    1 |   412 |   50840.0 | Ar_lines.dat |
| HgI | 13254.023 |    1 |   580 |   50840.0 | Hg_lines.dat |
| ArI | 13262.514 |    1 |   413 |   64050.0 | Ar_lines.dat |
| HgI | 13262.514 |    1 |   581 |   64050.0 | Hg_lines.dat |
| HgI | 13276.270 |    1 |   582 |   87760.0 | Hg_lines.dat |
| ArI | 13276.270 |    1 |   414 |   87760.0 | Ar_lines.dat |
| XeI | 13923.400 |    1 |   224 |    1305.0 | Xe_lines.dat |
| KrI | 13927.850 |    1 |   252 |    8368.0 | Kr_lines.dat |
| KrI | 13942.810 |    1 |   253 |    7493.0 | Kr_lines.dat |
| HgI | 13942.972 |    1 |   613 |    8271.0 | Hg_lines.dat |
| ArI | 13942.972 |    1 |   438 |    8271.0 | Ar_lines.dat |
| HgI | 13952.422 |    1 |   614 |    8927.0 | Hg_lines.dat |
| ArI | 13952.422 |    1 |   439 |    8927.0 | Ar_lines.dat |
| HgI | 13954.360 |    1 |   615 |  128900.0 | Hg_lines.dat |
| ArI | 13976.164 |    1 |   440 |    9964.0 | Ar_lines.dat |
| HgI | 13976.164 |    1 |   616 |    9964.0 | Hg_lines.dat |
| KrI | 13977.880 |    1 |   254 |    9132.0 | Kr_lines.dat |
| KrI | 13978.180 |    1 |   255 |    9132.0 | Kr_lines.dat |
| HgI | 13983.000 |    1 |   617 |    5519.0 | Hg_lines.dat |
| HgI | 14003.720 |    1 |   618 |    9458.0 | Hg_lines.dat |
| ArI | 14003.720 |    1 |   441 |    9458.0 | Ar_lines.dat |
| XeI | 14054.500 |    1 |   225 |    4143.0 | Xe_lines.dat |
| HgI | 14058.494 |    1 |   619 |    8564.0 | Hg_lines.dat |
| ArI | 14058.494 |    1 |   442 |    8564.0 | Ar_lines.dat |
| HgI | 14068.000 |    1 |   620 |    6822.0 | Hg_lines.dat |
| ArI | 14073.975 |    1 |   443 |    9690.0 | Ar_lines.dat |
| HgI | 14073.975 |    1 |   621 |    9690.0 | Hg_lines.dat |
| ArI | 14081.620 |    1 |   444 |   12230.0 | Ar_lines.dat |
| HgI | 14081.620 |    1 |   622 |   12230.0 | Hg_lines.dat |
| ArI | 14088.911 |    1 |   445 |  124400.0 | Ar_lines.dat |
| HgI | 14088.911 |    1 |   623 |  124400.0 | Hg_lines.dat |
| HgI | 14097.493 |    1 |   624 |  248000.0 | Hg_lines.dat |
| ArI | 14097.493 |    1 |   446 |  248000.0 | Ar_lines.dat |
| KrI | 14108.150 |    1 |   256 |   12620.0 | Kr_lines.dat |
| XeI | 14132.000 |    1 |   226 |    7236.0 | Xe_lines.dat |
| XeI | 14145.960 |    1 |   227 |  215900.0 | Xe_lines.dat |
| KrI | 14160.490 |    1 |   257 |   11080.0 | Kr_lines.dat |
| HgI | 14164.000 |    1 |   625 |   12310.0 | Hg_lines.dat |
| XeI | 14219.500 |    1 |   228 |    3832.0 | Xe_lines.dat |
| HgI | 14228.638 |    1 |   626 |   12520.0 | Hg_lines.dat |
| ArI | 14228.638 |    1 |   447 |   12520.0 | Ar_lines.dat |
| ArI | 14237.171 |    1 |   448 |    9318.0 | Ar_lines.dat |
| HgI | 14237.171 |    1 |   627 |    9318.0 | Hg_lines.dat |
| XeI | 14245.280 |    1 |   229 |  105000.0 | Xe_lines.dat |
| ArI | 14254.340 |    1 |   449 |   74510.0 | Ar_lines.dat |
| HgI | 14254.340 |    1 |   628 |   74510.0 | Hg_lines.dat |
| KrI | 14345.170 |    1 |   258 |   30140.0 | Kr_lines.dat |
| KrI | 14351.400 |    1 |   259 |   30440.0 | Kr_lines.dat |
| XeI | 14358.500 |    1 |   230 |   25020.0 | Xe_lines.dat |
| XeI | 14368.830 |    1 |   231 |   36970.0 | Xe_lines.dat |
| XeI | 14388.710 |    1 |   232 |    5268.0 | Xe_lines.dat |
| KrI | 14406.220 |    1 |   260 |   19820.0 | Kr_lines.dat |
| XeI | 14428.100 |    1 |   233 |   11000.0 | Xe_lines.dat |
| KrI | 14430.736 |    1 |   261 |  202500.0 | Kr_lines.dat |
| KrI | 14472.810 |    1 |   262 |   17300.0 | Kr_lines.dat |
| XeI | 14507.400 |    1 |   234 |    6854.0 | Xe_lines.dat |
| KrI | 14521.600 |    1 |   263 |   11560.0 | Kr_lines.dat |
| HgI | 14629.281 |    1 |   629 |   47470.0 | Hg_lines.dat |
| ArI | 14629.281 |    1 |   450 |   47470.0 | Ar_lines.dat |
| XeI | 14663.850 |    1 |   235 |   12200.0 | Xe_lines.dat |
| ArI | 14665.306 |    1 |   451 |   13950.0 | Ar_lines.dat |
| HgI | 14665.306 |    1 |   630 |   13950.0 | Hg_lines.dat |
| KrI | 14719.570 |    1 |   264 |    9319.0 | Kr_lines.dat |
| XeI | 14736.410 |    1 |   236 | 1259000.0 | Xe_lines.dat |
| KrI | 14738.469 |    1 |   265 |  214300.0 | Kr_lines.dat |
| XeI | 14746.300 |    1 |   237 |  206600.0 | Xe_lines.dat |
| KrI | 14766.720 |    1 |   266 |  107000.0 | Kr_lines.dat |
| KrI | 14769.520 |    1 |   267 |  101300.0 | Kr_lines.dat |
| ArI | 14781.262 |    1 |   452 |   13010.0 | Ar_lines.dat |
| HgI | 14781.262 |    1 |   631 |   13010.0 | Hg_lines.dat |
| XeI | 14815.500 |    1 |   238 |    6274.0 | Xe_lines.dat |
| XeI | 14854.100 |    1 |   239 |    8020.0 | Xe_lines.dat |
| HgI | 14858.794 |    1 |   632 |   11310.0 | Hg_lines.dat |
| ArI | 14858.794 |    1 |   453 |   11310.0 | Ar_lines.dat |
| KrI | 14965.980 |    1 |   268 |   62840.0 | Kr_lines.dat |
| KrI | 14977.830 |    1 |   269 |   17970.0 | Kr_lines.dat |
